Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
"3","'008","Albania","1345","Rodenticides","5157","Agricultural Use","tonnes","2.000000","I","2.000000","I","2.000000","I","2.000000","A","3.000000","A","4.000000","A","4.710000","I","5.420000","I","6.120000","I","6.830000","I","7.540000","I","8.250000","I","8.960000","I","9.670000","I","10.370000","I","11.080000","I","11.790000","I","12.500000","I","13.210000","I","13.910000","E","9.300000","E","24.480000","E","0.590000","E","18.480000","E","47.780000","E","68.130000","E","117.450000","E","103.040000","E","35.890000","E","60.700000","E","63.590000","A"
"3","'008","Albania","1346","Rodenticides – Anti-coagulants","5157","Agricultural Use","tonnes",,,,,,,"1.900000","A","2.900000","A","4.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1347","Rodenticides – Other","5157","Agricultural Use","tonnes",,,,,,,"0.100000","A","0.100000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","'008","Albania","1355","Other Pesticides nes","5157","Agricultural Use","tonnes","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.490000","I","0.990000","I","1.480000","I","1.980000","I","2.470000","I","2.960000","I","3.460000","I","3.950000","I","4.440000","I","4.940000","I","5.430000","I","5.930000","I","6.420000","I","6.910000","I","7.410000","I","7.900000","I","8.400000","I","8.890000","I","9.380000","I","9.880000","I","10.370000","I","10.860000","I","11.360000","E","11.360000","I","0.000000","I"
"4","'012","Algeria","1357","Pesticides (total)","5157","Agricultural Use","tonnes","5743.460000","E","7094.390000","E","3876.180000","E","3710.000000","E","4058.620000","E","6255.630000","E","2190.880000","E","1822.160000","E","1498.960000","E","2228.170000","E","2537.400000","E","2846.640000","E","3155.870000","E","3465.110000","E","3774.350000","E","2810.610000","E","2504.010000","E","3562.520000","E","5720.110000","E","3168.410000","E","1869.580000","E","7612.210000","E","8980.170000","E","8269.570000","E","7151.520000","E","4516.930000","E","4153.380000","E","6067.350000","E","6067.350000","E","6067.350000","E","6067.350000","E"
"4","'012","Algeria","1309","Insecticides","5157","Agricultural Use","tonnes","1187.920000","E","1993.920000","E","708.350000","E","607.600000","E","695.330000","E","1399.340000","E","496.620000","E","553.040000","E","87.730000","E","325.190000","E","536.250000","I","747.310000","I","958.380000","I","1169.440000","I","1380.500000","E","308.930000","E","236.400000","E","706.950000","E","391.410000","E","497.120000","E","203.360000","E","459.730000","E","392.770000","E","287.370000","E","381.300000","E","323.430000","E","251.440000","E","366.990000","E","366.990000","I","366.990000","I","366.990000","I"
"4","'012","Algeria","1320","Herbicides","5157","Agricultural Use","tonnes","99.280000","E","129.540000","E","69.700000","E","100.980000","E","134.300000","E","544.340000","E","72.420000","E","81.940000","E","69.020000","E","126.480000","E","121.600000","I","116.720000","I","111.850000","I","106.970000","I","102.090000","E","151.700000","E","180.340000","E","201.070000","E","322.330000","E","202.640000","E","261.270000","E","332.520000","E","357.000000","E","301.240000","E","282.200000","E","205.650000","E","208.780000","E","286.320000","E","286.320000","I","286.320000","I","286.320000","I"
"4","'012","Algeria","1331","Fungicides and Bactericides","5157","Agricultural Use","tonnes","3275.400000","E","3712.800000","E","1898.400000","E","1909.800000","E","2084.400000","E","2999.400000","E","553.800000","E","106.800000","E","215.400000","E","633.000000","E","736.050000","I","839.100000","I","942.150000","I","1045.200000","I","1148.260000","E","1099.130000","E","608.060000","E","779.250000","E","742.940000","E","1207.010000","E","1123.390000","E","1800.000000","E","1848.600000","E","1216.800000","E","1203.000000","E","1739.980000","E","1171.260000","E","1576.850000","E","1576.850000","I","1576.850000","I","1576.850000","I"
"4","'012","Algeria","1341","Plant Growth Regulators","5157","Agricultural Use","tonnes","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","I","1059.340000","E","1166.680000","E","1395.050000","E","1791.100000","E","4179.270000","E","1177.480000","E","197.400000","E","4935.800000","E","6297.640000","E","6380.000000","E","5200.860000","E","2163.710000","E","2437.740000","E","3753.030000","E","3753.030000","I","3753.030000","I","3753.030000","I"
"4","'012","Algeria","1355","Other Pesticides nes","5157","Agricultural Use","tonnes","121.530000","E","198.790000","E","140.390000","E","32.290000","E","85.250000","E","253.210000","E","8.710000","E","21.040000","E","67.470000","E","84.160000","E","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I","84.160000","I"
"7","'024","Angola","1357","Pesticides (total)","5157","Agricultural Use","tonnes","64.000000","E","79.000000","E","23.000000","E","169.000000","E","25.500000","E","336.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E","40.000000","E"
"7","'024","Angola","1309","Insecticides","5157","Agricultural Use","tonnes","56.000000","A","74.000000","A","13.000000","A","153.000000","A","22.000000","A","205.000000","A","37.000000","A","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I","37.000000","I"
"7","'024","Angola","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","tonnes","30.000000","A","40.000000","A","1.000000","A","20.000000","A","1.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","tonnes","17.000000","A","12.000000","A","2.000000","A","24.000000","A","12.000000","A","197.000000","A","10.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1312","Insecticides – Carbamates","5157","Agricultural Use","tonnes","5.000000","A","5.000000","A","5.000000","A","20.000000","A",,,,,"8.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1313","Insecticides – Pyrethroids","5157","Agricultural Use","tonnes","4.000000","A","17.000000","A","3.000000","A","37.000000","A","7.000000","A","6.000000","A","10.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1315","Insecticides – Other","5157","Agricultural Use","tonnes",,,,,"2.000000","A","52.000000","A","2.000000","A","2.000000","A","9.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1320","Herbicides","5157","Agricultural Use","tonnes","0.000000","I","0.000000","I","2.000000","A","1.000000","A","1.000000","I","129.000000","A","1.000000","A","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I"
"7","'024","Angola","1322","Herbicides – Triazines","5157","Agricultural Use","tonnes",,,,,"1.000000","A",,,,,"111.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1324","Herbicides – Carbamates","5157","Agricultural Use","tonnes",,,,,,,,,,,"18.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1327","Herbicides – Other","5157","Agricultural Use","tonnes",,,,,"1.000000","A","1.000000","A",,,,,"1.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1331","Fungicides and Bactericides","5157","Agricultural Use","tonnes","5.000000","A","5.000000","A","8.000000","A","13.000000","A","0.500000","A","1.000000","A","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I"
"7","'024","Angola","1332","Fung & Bact – Inorganics","5157","Agricultural Use","tonnes",,,,,"7.000000","A","7.000000","A","0.200000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1333","Fung & Bact – Dithiocarbamates","5157","Agricultural Use","tonnes",,,,,"1.000000","A",,,"0.300000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1337","Fung & Bact – Other","5157","Agricultural Use","tonnes","5.000000","A","5.000000","A",,,"6.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","1345","Rodenticides","5157","Agricultural Use","tonnes","3.000000","A","0.000000","I","0.000000","I","2.000000","A","2.000000","A","1.000000","A","1.000000","A","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I","1.000000","I"
"7","'024","Angola","1346","Rodenticides – Anti-coagulants","5157","Agricultural Use","tonnes","3.000000","A",,,,,"2.000000","A","2.000000","A","1.000000","A","1.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","'028","Antigua and Barbuda","1357","Pesticides (total)","5157","Agricultural Use","tonnes","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","7.520000","E","39.260000","E","31.500000","E","28.300000","E","27.470000","E","26.640000","E","26.860000","E","27.070000","E","27.280000","E","27.490000","E","13.980000","E"
"8","'028","Antigua and Barbuda","1309","Insecticides","5157","Agricultural Use","tonnes","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","I","3.280000","A","18.920000","A","22.510000","A","7.430000","A","8.130000","I","8.820000","A","8.820000","I","8.820000","I","8.820000","I","8.820000","I","2.650000","A"
"8","'028","Antigua and Barbuda","1310","Insecticides – Chlorinated Hydrocarbons","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.540000","A","0.340000","A",,,,,,,,,,,,,"0.010000","A"
"8","'028","Antigua and Barbuda","1311","Insecticides – Organo-phosphates","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.190000","A","2.660000","A","0.010000","A","0.000000","A",,,"1.080000","A",,,,,,,,,"0.660000","A"
"8","'028","Antigua and Barbuda","1312","Insecticides – Carbamates","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.570000","A","10.550000","A","2.520000","A","1.840000","A",,,"4.270000","A",,,,,,,,,"0.350000","A"
"8","'028","Antigua and Barbuda","1313","Insecticides – Pyrethroids","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.040000","A","2.030000","A","11.580000","A","1.800000","A",,,"0.670000","A",,,,,,,,,"1.160000","A"
"8","'028","Antigua and Barbuda","1314","Insecticides – Botanical products and biologicals","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.010000","A","0.000000","A","0.160000","A","0.060000","A",,,"0.630000","A",,,,,,,,,"0.130000","A"
"8","'028","Antigua and Barbuda","1315","Insecticides – Other","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.470000","A","3.680000","A","7.700000","A","3.390000","A",,,"2.170000","A",,,,,,,,,"0.340000","A"
"8","'028","Antigua and Barbuda","1316","Mineral Oils","5157","Agricultural Use","tonnes","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","I","0.000000","A"
"8","'028","Antigua and Barbuda","1320","Herbicides","5157","Agricultural Use","tonnes","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","I","3.700000","A","18.650000","A","4.530000","A","15.390000","A","16.340000","I","17.300000","A","17.300000","I","17.300000","I","17.300000","I","17.300000","I","10.270000","A"
"8","'028","Antigua and Barbuda","1321","Herbicides – Phenoxy hormone products","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.070000","A",,,"0.100000","A","0.050000","A",,,"0.420000","A",,,,,,,,,"0.040000","A"
"8","'028","Antigua and Barbuda","1322","Herbicides – Triazines","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","A","0.030000","A","0.150000","A","0.110000","A",,,,,,,,,,,,,"0.060000","A"
"8","'028","Antigua and Barbuda","1323","Herbicides – Amides","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.040000","A",,,,,,,,,,,,,,,,,"0.010000","A"
"8","'028","Antigua and Barbuda","1324","Herbicides – Carbamates","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.010000","A",,,,,,,,,,,,,,,,,"0.000000","A"
"8","'028","Antigua and Barbuda","1325","Herbicides – Dinitroanilines","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.080000","A","0.020000","A","0.050000","A","0.050000","A",,,,,,,,,,,,,"0.090000","A"
"8","'028","Antigua and Barbuda","1326","Herbicides – Urea derivates","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.110000","A","0.060000","A","9.220000","A",,,,,,,,,,,,,"6.290000","A"
"8","'028","Antigua and Barbuda","1328","Herbicides – Sulfonyl ureas","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.010000","A","0.000000","A",,,,,,,,,,,,,,,,,"0.000000","A"
"8","'028","Antigua and Barbuda","1329","Herbicides – Bipiridils","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.770000","A","2.170000","A","1.050000","A","1.500000","A",,,"7.560000","A",,,,,,,,,"3.570000","A"
"8","'028","Antigua and Barbuda","1330","Herbicides – Uracil","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.110000","A","2.510000","A",,,,,,,,,,,,,,,,,"0.000000","A"
"8","'028","Antigua and Barbuda","1327","Herbicides – Other","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.660000","A","4.760000","A","3.120000","A","4.460000","A",,,"9.320000","A",,,,,,,,,"0.210000","A"
"8","'028","Antigua and Barbuda","1331","Fungicides and Bactericides","5157","Agricultural Use","tonnes","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","I","0.540000","A","1.690000","A","2.560000","A","2.350000","A","1.180000","I","0.000000","I","0.180000","I","0.360000","I","0.540000","I","0.720000","I","0.900000","A"
"8","'028","Antigua and Barbuda","1332","Fung & Bact – Inorganics","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.270000","A","0.460000","A","0.490000","A","0.060000","A",,,,,,,,,,,,,"0.080000","A"
"8","'028","Antigua and Barbuda","1333","Fung & Bact – Dithiocarbamates","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.170000","A","0.190000","A","0.980000","A","1.390000","A",,,,,,,,,,,,,"0.210000","A"
"8","'028","Antigua and Barbuda","1334","Fung & Bact – Benzimidazoles","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.080000","A","0.120000","A","0.060000","A","0.060000","A",,,,,,,,,,,,,"0.370000","A"
"8","'028","Antigua and Barbuda","1335","Fung & Bact – Triazoles, diazoles","5157","Agricultural Use","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000","A",,,,,,,,,,,,,"0.010000","A"
