Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
"3","'008","Albania","3102","Nutrient nitrogen N (total)","5172","Use per capita","kg/cap","1.890000","E","1.150000","E","1.120000","E","1.080000","E","1.050000","E","1.540000","E","3.500000","E","9.270000","E","7.620000","E","10.460000","E","14.080000","E","14.460000","E","15.650000","E","15.390000","E","14.930000","E","18.380000","E","19.850000","E","27.950000","E","26.980000","E","25.650000","E","26.490000","E","25.370000","E","25.660000","E","25.830000","E","25.260000","E","24.640000","E","21.150000","E","21.650000","E","24.520000","E","22.370000","E","6.800000","E","4.560000","E","4.760000","E","4.030000","E","3.210000","E","1.770000","E","1.350000","E","5.790000","E","1.860000","E","3.870000","E","3.420000","E","12.220000","E","11.990000","E","11.630000","E","12.050000","E","9.900000","E","10.380000","E","9.570000","E","11.420000","E","10.610000","E","12.600000","E","11.990000","E","10.580000","E","10.600000","E","12.730000","E","14.860000","E","13.590000","E","8.590000","E","13.300000","E","11.320000","E"
"3","'008","Albania","3102","Nutrient nitrogen N (total)","5173","Use per value of agricultural production","kg/1000 Int.$","6.780000","E","4.020000","E","4.090000","E","3.720000","E","3.870000","E","5.140000","E","11.350000","E","30.910000","E","25.600000","E","34.920000","E","46.580000","E","47.850000","E","49.380000","E","48.520000","E","47.310000","E","54.300000","E","57.400000","E","79.030000","E","75.660000","E","75.380000","E","76.330000","E","72.380000","E","69.180000","E","76.030000","E","76.430000","E","76.240000","E","65.100000","E","72.430000","E","74.350000","E","70.160000","E","25.580000","E","15.240000","E","13.900000","E","10.640000","E","7.770000","E","4.250000","E","3.410000","E","14.040000","E","4.570000","E","9.060000","E","7.830000","E","27.800000","E","26.010000","E","23.970000","E","25.120000","E","19.730000","E","20.200000","E","17.940000","E","20.440000","E","17.720000","E","19.900000","E","17.850000","E","15.570000","E","15.380000","E","17.860000","E","20.200000","E","18.340000","E","11.350000","E","18.100000","E","14.990000","E"
"3","'008","Albania","3103","Nutrient phosphate P2O5 (total)","5159","Use per area of cropland","kg/ha","5.080000","E","5.130000","E","5.050000","E","6.990000","E","9.580000","E","9.260000","E","12.590000","E","28.070000","E","30.770000","E","34.560000","E","34.430000","E","33.650000","E","32.860000","E","36.810000","E","37.610000","E","32.700000","E","30.640000","E","32.280000","E","32.420000","E","29.910000","E","8.500000","E","40.900000","E","35.210000","E","25.250000","E","25.250000","E","25.250000","E","37.390000","E","35.010000","E","34.370000","E","36.220000","E","10.950000","E","12.380000","E","2.240000","E","2.980000","E","1.420000","E","1.420000","E","1.430000","E","9.870000","E","6.720000","E","7.010000","E","9.300000","E","26.020000","E","28.650000","E","31.940000","E","35.110000","E","27.850000","E","27.650000","E","25.810000","E","29.960000","E","31.080000","E","33.540000","E","31.850000","E","32.900000","E","32.910000","E","41.270000","E","49.100000","E","30.540000","E","19.190000","E","21.680000","E","33.300000","E"
"3","'008","Albania","3103","Nutrient phosphate P2O5 (total)","5172","Use per capita","kg/cap","1.440000","E","1.440000","E","1.400000","E","1.900000","E","2.640000","E","2.570000","E","3.500000","E","7.810000","E","8.570000","E","9.620000","E","9.540000","E","9.320000","E","9.060000","E","10.170000","E","10.320000","E","9.090000","E","8.420000","E","8.750000","E","8.600000","E","7.830000","E","2.190000","E","10.390000","E","8.790000","E","6.200000","E","6.060000","E","5.910000","E","8.540000","E","7.810000","E","7.460000","E","7.760000","E","2.350000","E","2.680000","E","0.490000","E","0.660000","E","0.320000","E","0.320000","E","0.320000","E","2.220000","E","1.510000","E","1.570000","E","2.080000","E","5.820000","E","6.420000","E","7.190000","E","7.500000","E","6.410000","E","6.360000","E","5.990000","E","7.010000","E","7.340000","E","7.970000","E","7.610000","E","7.890000","E","7.910000","E","9.940000","E","11.970000","E","7.370000","E","4.630000","E","5.240000","E","7.960000","E"
"3","'008","Albania","3103","Nutrient phosphate P2O5 (total)","5173","Use per value of agricultural production","kg/1000 Int.$","5.180000","E","5.020000","E","5.110000","E","6.500000","E","9.670000","E","8.570000","E","11.350000","E","26.030000","E","28.810000","E","32.130000","E","31.560000","E","30.820000","E","28.590000","E","32.080000","E","32.720000","E","26.850000","E","24.340000","E","24.730000","E","24.120000","E","23.010000","E","6.320000","E","29.650000","E","23.690000","E","18.250000","E","18.340000","E","18.300000","E","26.300000","E","26.130000","E","22.610000","E","24.340000","E","8.830000","E","8.960000","E","1.430000","E","1.750000","E","0.780000","E","0.770000","E","0.810000","E","5.380000","E","3.700000","E","3.670000","E","4.750000","E","13.230000","E","13.940000","E","14.820000","E","15.620000","E","12.770000","E","12.380000","E","11.230000","E","12.560000","E","12.250000","E","12.590000","E","11.320000","E","11.610000","E","11.470000","E","13.940000","E","16.270000","E","9.950000","E","6.120000","E","7.130000","E","10.540000","E"
"3","'008","Albania","3104","Nutrient potash K2O (total)","5159","Use per area of cropland","kg/ha","1.420000","E","1.440000","E","1.620000","E","1.800000","E","1.920000","E","2.780000","E","2.700000","E","3.510000","E","3.420000","E","1.500000","E","2.950000","E","3.210000","E","1.730000","E","5.520000","E","2.420000","E","6.280000","E","10.840000","E","7.890000","E","6.600000","E","5.560000","E","4.110000","E","8.740000","E","6.620000","E","1.400000","E","1.540000","E","4.630000","E","3.080000","E","3.080000","E","3.250000","E","4.260000","E","1.850000","E",,,"1.570000","E",,,,,,,,,"0.140000","E","0.140000","E","2.430000","E","2.150000","E","0.000000","E","0.000000","E","0.160000","E","0.170000","E","0.200000","E","0.470000","E","0.610000","E","0.360000","E","0.430000","E","0.530000","E","0.730000","E","1.140000","E","1.140000","E","1.150000","E","1.140000","E","0.910000","E","3.710000","E","6.020000","E","7.770000","E"
"3","'008","Albania","3104","Nutrient potash K2O (total)","5172","Use per capita","kg/cap","0.400000","E","0.400000","E","0.450000","E","0.490000","E","0.530000","E","0.770000","E","0.750000","E","0.980000","E","0.950000","E","0.420000","E","0.820000","E","0.890000","E","0.480000","E","1.530000","E","0.660000","E","1.740000","E","2.980000","E","2.140000","E","1.750000","E","1.450000","E","1.060000","E","2.220000","E","1.650000","E","0.340000","E","0.370000","E","1.080000","E","0.700000","E","0.690000","E","0.710000","E","0.910000","E","0.400000","E",,,"0.340000","E",,,,,,,,,"0.030000","E","0.030000","E","0.540000","E","0.480000","E","0.000000","E","0.000000","E","0.040000","E","0.040000","E","0.050000","E","0.110000","E","0.140000","E","0.080000","E","0.100000","E","0.130000","E","0.170000","E","0.270000","E","0.270000","E","0.280000","E","0.280000","E","0.220000","E","0.890000","E","1.450000","E","1.860000","E"
"3","'008","Albania","3104","Nutrient potash K2O (total)","5173","Use per value of agricultural production","kg/1000 Int.$","1.450000","E","1.410000","E","1.630000","E","1.670000","E","1.930000","E","2.570000","E","2.430000","E","3.250000","E","3.200000","E","1.400000","E","2.700000","E","2.940000","E","1.500000","E","4.810000","E","2.100000","E","5.150000","E","8.610000","E","6.050000","E","4.910000","E","4.270000","E","3.050000","E","6.340000","E","4.450000","E","1.010000","E","1.120000","E","3.350000","E","2.170000","E","2.300000","E","2.140000","E","2.860000","E","1.490000","E",,,"1.000000","E",,,,,,,,,"0.080000","E","0.080000","E","1.270000","E","1.100000","E","0.000000","E","0.000000","E","0.080000","E","0.080000","E","0.090000","E","0.210000","E","0.260000","E","0.150000","E","0.170000","E","0.200000","E","0.260000","E","0.400000","E","0.400000","E","0.390000","E","0.380000","E","0.300000","E","1.180000","E","1.980000","E","2.460000","E"
"4","'012","Algeria","3102","Nutrient nitrogen N (total)","5159","Use per area of cropland","kg/ha","1.270000","E","2.170000","E","2.640000","E","2.370000","E","1.970000","E","2.530000","E","2.120000","E","2.950000","E","4.270000","E","6.320000","E","9.740000","E","11.390000","E","10.650000","E","9.210000","E","5.340000","E","6.580000","E","6.910000","E","7.640000","E","8.040000","E","11.190000","E","7.680000","E","6.490000","E","8.200000","E","11.680000","E","13.070000","E","14.960000","E","10.490000","E","6.880000","E","6.030000","E","8.250000","E","5.250000","E","5.770000","E","9.150000","E","7.270000","E","2.290000","E","1.740000","E","4.410000","E","5.380000","E","5.740000","E","5.410000","E","5.550000","E","3.420000","E","2.070000","E","12.620000","E","0.490000","E","5.230000","E","4.370000","E","2.750000","E","4.420000","E","7.150000","E","6.690000","E","8.610000","E","7.590000","E","9.060000","E","8.790000","E","8.340000","E","8.270000","E","8.240000","E","8.240000","E","8.240000","E"
"4","'012","Algeria","3102","Nutrient nitrogen N (total)","5172","Use per capita","kg/cap","0.790000","E","1.290000","E","1.510000","E","1.310000","E","1.060000","E","1.330000","E","1.090000","E","1.460000","E","2.060000","E","2.970000","E","4.570000","E","5.300000","E","4.840000","E","4.090000","E","2.410000","E","2.980000","E","2.970000","E","3.180000","E","3.230000","E","4.370000","E","2.910000","E","2.380000","E","2.810000","E","4.030000","E","4.380000","E","4.880000","E","3.360000","E","2.150000","E","1.840000","E","2.450000","E","1.550000","E","1.730000","E","2.670000","E","2.060000","E","0.640000","E","0.480000","E","1.210000","E","1.460000","E","1.530000","E","1.430000","E","1.440000","E","0.880000","E","0.530000","E","3.200000","E","0.120000","E","1.300000","E","1.070000","E","0.670000","E","1.050000","E","1.670000","E","1.540000","E","1.940000","E","1.680000","E","1.970000","E","1.870000","E","1.730000","E","1.700000","E","1.660000","E","1.630000","E","1.600000","E"
"4","'012","Algeria","3102","Nutrient nitrogen N (total)","5173","Use per value of agricultural production","kg/1000 Int.$","2.900000","E","4.640000","E","5.560000","E","5.470000","E","3.980000","E","7.470000","E","5.740000","E","6.190000","E","9.650000","E","13.970000","E","21.170000","E","27.480000","E","27.050000","E","21.900000","E","12.130000","E","16.460000","E","20.020000","E","21.890000","E","20.410000","E","26.230000","E","17.670000","E","16.130000","E","18.750000","E","25.820000","E","23.680000","E","27.030000","E","19.010000","E","13.100000","E","10.390000","E","14.440000","E","8.060000","E","8.600000","E","14.160000","E","11.990000","E","3.400000","E","2.210000","E","6.930000","E","7.560000","E","7.730000","E","7.800000","E","7.410000","E","4.440000","E","2.310000","E","12.970000","E","0.490000","E","5.020000","E","4.550000","E","2.820000","E","3.660000","E","5.680000","E","4.810000","E","5.840000","E","4.720000","E","5.690000","E","5.350000","E","4.910000","E","4.910000","E","4.660000","E","4.510000","E","4.500000","E"
"4","'012","Algeria","3103","Nutrient phosphate P2O5 (total)","5159","Use per area of cropland","kg/ha","3.540000","E","3.620000","E","2.940000","E","2.960000","E","2.140000","E","3.070000","E","3.640000","E","4.270000","E","4.130000","E","7.350000","E","10.600000","E","13.220000","E","11.910000","E","10.330000","E","8.540000","E","10.970000","E","9.110000","E","11.490000","E","10.930000","E","15.430000","E","9.990000","E","8.240000","E","9.900000","E","12.240000","E","17.770000","E","14.040000","E","14.260000","E","7.880000","E","6.220000","E","4.580000","E","3.910000","E","3.940000","E","4.320000","E","4.580000","E","1.890000","E","1.370000","E","4.290000","E","3.770000","E","3.050000","E","3.050000","E","4.290000","E","2.860000","E","0.770000","E","6.970000","E","3.890000","E","3.790000","E","6.240000","E","2.470000","E","5.810000","E","3.900000","E","4.330000","E","6.820000","E","8.450000","E","9.240000","E","7.470000","E","6.990000","E","6.930000","E","6.900000","E","6.900000","E","6.900000","E"
"4","'012","Algeria","3103","Nutrient phosphate P2O5 (total)","5172","Use per capita","kg/cap","2.210000","E","2.150000","E","1.680000","E","1.640000","E","1.160000","E","1.610000","E","1.880000","E","2.120000","E","1.990000","E","3.460000","E","4.980000","E","6.150000","E","5.410000","E","4.580000","E","3.850000","E","4.970000","E","3.910000","E","4.790000","E","4.400000","E","6.030000","E","3.780000","E","3.030000","E","3.390000","E","4.220000","E","5.950000","E","4.580000","E","4.570000","E","2.460000","E","1.900000","E","1.360000","E","1.160000","E","1.180000","E","1.260000","E","1.300000","E","0.530000","E","0.380000","E","1.180000","E","1.020000","E","0.820000","E","0.810000","E","1.110000","E","0.740000","E","0.200000","E","1.770000","E","0.980000","E","0.940000","E","1.530000","E","0.600000","E","1.380000","E","0.910000","E","1.000000","E","1.540000","E","1.870000","E","2.000000","E","1.590000","E","1.450000","E","1.420000","E","1.390000","E","1.370000","E","1.340000","E"
"4","'012","Algeria","3103","Nutrient phosphate P2O5 (total)","5173","Use per value of agricultural production","kg/1000 Int.$","8.070000","E","7.730000","E","6.180000","E","6.840000","E","4.340000","E","9.050000","E","9.880000","E","8.980000","E","9.320000","E","16.240000","E","23.040000","E","31.890000","E","30.250000","E","24.550000","E","19.410000","E","27.440000","E","26.370000","E","32.930000","E","27.760000","E","36.190000","E","22.960000","E","20.480000","E","22.640000","E","27.060000","E","32.200000","E","25.380000","E","25.830000","E","14.990000","E","10.710000","E","8.020000","E","6.000000","E","5.870000","E","6.680000","E","7.560000","E","2.810000","E","1.730000","E","6.730000","E","5.290000","E","4.110000","E","4.400000","E","5.730000","E","3.720000","E","0.860000","E","7.160000","E","3.920000","E","3.640000","E","6.510000","E","2.540000","E","4.820000","E","3.100000","E","3.120000","E","4.630000","E","5.260000","E","5.800000","E","4.540000","E","4.120000","E","4.110000","E","3.900000","E","3.770000","E","3.770000","E"
"4","'012","Algeria","3104","Nutrient potash K2O (total)","5159","Use per area of cropland","kg/ha","2.120000","E","2.170000","E","2.200000","E","2.440000","E","1.650000","E","1.970000","E","1.750000","E","2.800000","E","1.920000","E","2.650000","E","5.300000","E","5.630000","E","3.780000","E","4.330000","E","2.540000","E","3.870000","E","2.680000","E","4.480000","E","3.680000","E","4.770000","E","4.450000","E","2.760000","E","3.320000","E","3.230000","E","6.520000","E","7.060000","E","6.890000","E","4.410000","E","3.000000","E","3.800000","E","2.560000","E","2.250000","E","2.770000","E","3.050000","E","1.590000","E","1.620000","E","3.190000","E","4.060000","E","2.560000","E","2.810000","E","3.060000","E","2.590000","E","2.620000","E","3.070000","E","2.300000","E","2.800000","E","2.710000","E","2.420000","E","2.510000","E","3.040000","E","3.030000","E","3.560000","E","3.910000","E","4.270000","E","4.490000","E","3.170000","E","3.150000","E","3.130000","E","3.130000","E","3.130000","E"
"4","'012","Algeria","3104","Nutrient potash K2O (total)","5172","Use per capita","kg/cap","1.320000","E","1.290000","E","1.260000","E","1.350000","E","0.890000","E","1.030000","E","0.900000","E","1.390000","E","0.920000","E","1.240000","E","2.490000","E","2.620000","E","1.720000","E","1.920000","E","1.140000","E","1.760000","E","1.150000","E","1.870000","E","1.480000","E","1.860000","E","1.680000","E","1.010000","E","1.140000","E","1.120000","E","2.180000","E","2.300000","E","2.210000","E","1.380000","E","0.920000","E","1.130000","E","0.760000","E","0.670000","E","0.810000","E","0.860000","E","0.450000","E","0.440000","E","0.870000","E","1.100000","E","0.690000","E","0.740000","E","0.790000","E","0.670000","E","0.670000","E","0.780000","E","0.580000","E","0.700000","E","0.670000","E","0.590000","E","0.600000","E","0.710000","E","0.700000","E","0.800000","E","0.870000","E","0.920000","E","0.960000","E","0.660000","E","0.650000","E","0.630000","E","0.620000","E","0.610000","E"
"4","'012","Algeria","3104","Nutrient potash K2O (total)","5173","Use per value of agricultural production","kg/1000 Int.$","4.840000","E","4.640000","E","4.630000","E","5.640000","E","3.330000","E","5.810000","E","4.740000","E","5.880000","E","4.330000","E","5.850000","E","11.520000","E","13.570000","E","9.610000","E","10.280000","E","5.760000","E","9.680000","E","7.760000","E","12.850000","E","9.360000","E","11.180000","E","10.230000","E","6.850000","E","7.590000","E","7.150000","E","11.810000","E","12.760000","E","12.480000","E","8.390000","E","5.160000","E","6.650000","E","3.930000","E","3.350000","E","4.280000","E","5.030000","E","2.370000","E","2.050000","E","5.000000","E","5.710000","E","3.450000","E","4.050000","E","4.090000","E","3.370000","E","2.920000","E","3.160000","E","2.320000","E","2.680000","E","2.820000","E","2.490000","E","2.080000","E","2.420000","E","2.180000","E","2.410000","E","2.430000","E","2.680000","E","2.730000","E","1.870000","E","1.870000","E","1.770000","E","1.710000","E","1.710000","E"
"7","'024","Angola","3102","Nutrient nitrogen N (total)","5159","Use per area of cropland","kg/ha","0.160000","E","0.160000","E","0.160000","E","0.310000","E","0.860000","E","1.090000","E","1.500000","E","1.490000","E","1.470000","E","1.620000","E","3.290000","E","3.290000","E","2.680000","E","1.910000","E","0.620000","E","0.290000","E","3.850000","E","2.940000","E","2.760000","E","2.710000","E","1.350000","E","0.820000","E","1.120000","E","1.090000","E","3.760000","E","1.470000","E","1.180000","E","1.540000","E","2.700000","E","0.740000","E","0.670000","E","0.890000","E","0.570000","E","0.570000","E","0.570000","E","0.570000","E","0.570000","E","0.660000","E","0.680000","E","0.420000","E",,,"0.810000","E","0.500000","E","2.000000","E","1.030000","E","1.850000","E","1.510000","E","2.210000","E","2.440000","E","3.960000","E","3.280000","E","3.890000","E","3.940000","E","5.320000","E","4.910000","E","4.000000","E","5.120000","E","4.210000","E","3.280000","E","4.580000","E"
